barrio,cantidad_paradas
Palermo,32
Recoleta,27
Balvanera,25
Retiro,20
Caballito,20
San Nicolas,18
Monserrat,15
Almagro,15
Barracas,11
Belgrano,11
Constitucion,11
Parque Patricios,9
La Boca,8
Villa Crespo,8
San Telmo,8
Liniers,8
Chacarita,7
Flores,7
San Cristobal,6
Villa Ortuzar,5
Parque Chacabuco,5
Nuñez,5
Nueva Pompeya,4
Villa Devoto,4
Paternal,4
Villa Del Parque,4
Puerto Madero,4
Villa Urquiza,4
Colegiales,3
Villa Soldati,3
Floresta,3
Monte Castro,3
Villa Luro,2
Villa Santa Rita,2
Boedo,2
Saavedra,2
Parque Chas,2
Villa Gral. Mitre,1
Parque Avellaneda,1
Villa Lugano,1
Villa Pueyrredon,1
Mataderos,1
Villa Riachuelo,1
